# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         	ReThetat      	gammaInt      
185           	5.671287e-02	2.928795e-03	5.929258e-03	2.982339e-03	2.985512e-03	2.911725e-03	3.456601e-03
186           	5.687494e-02	2.942355e-03	5.801118e-03	2.961557e-03	2.964947e-03	2.864933e-03	3.383945e-03
187           	5.637716e-02	2.965619e-03	5.658344e-03	2.940999e-03	2.944638e-03	2.818701e-03	3.281192e-03
188           	5.635022e-02	2.999219e-03	5.614014e-03	2.920672e-03	2.924578e-03	2.772603e-03	3.204474e-03
189           	5.448634e-02	3.013130e-03	5.515926e-03	2.900592e-03	2.904760e-03	2.730089e-03	3.131594e-03
190           	5.424426e-02	3.065380e-03	5.471491e-03	2.880765e-03	2.885182e-03	2.684351e-03	3.072166e-03
191           	5.170881e-02	3.095944e-03	5.413326e-03	2.861208e-03	2.865839e-03	2.635110e-03	3.014109e-03
192           	4.983722e-02	3.117816e-03	5.317060e-03	2.841906e-03	2.846727e-03	2.587892e-03	2.986756e-03
193           	5.027811e-02	3.137478e-03	5.228467e-03	2.822842e-03	2.827843e-03	2.546846e-03	2.950775e-03
194           	4.953833e-02	3.181919e-03	5.224684e-03	2.804011e-03	2.809187e-03	2.514373e-03	2.947239e-03
195           	5.037270e-02	3.231213e-03	5.197046e-03	2.785414e-03	2.790756e-03	2.489642e-03	2.946093e-03
196           	5.033734e-02	3.299971e-03	5.216203e-03	2.767040e-03	2.772549e-03	2.471820e-03	2.909795e-03
197           	5.126062e-02	3.372312e-03	5.240861e-03	2.748885e-03	2.754570e-03	2.461207e-03	2.956028e-03
198           	5.138129e-02	3.440935e-03	5.289213e-03	2.730948e-03	2.736811e-03	2.456090e-03	2.963519e-03
199           	5.274877e-02	3.526117e-03	5.394377e-03	2.713221e-03	2.719265e-03	2.447936e-03	2.991910e-03
200           	5.389896e-02	3.592388e-03	5.497710e-03	2.695708e-03	2.701934e-03	2.438625e-03	3.042105e-03
201           	5.389170e-02	3.651301e-03	5.598379e-03	2.678399e-03	2.684814e-03	2.428522e-03	3.087316e-03
202           	5.601245e-02	3.714094e-03	5.711515e-03	2.661271e-03	2.667899e-03	2.418147e-03	3.182713e-03
203           	5.730150e-02	3.777874e-03	5.849585e-03	2.644349e-03	2.651191e-03	2.407358e-03	3.295924e-03
204           	5.944456e-02	3.861049e-03	5.981249e-03	2.627628e-03	2.634682e-03	2.398049e-03	3.431744e-03
205           	6.120476e-02	3.958388e-03	6.134586e-03	2.611094e-03	2.618374e-03	2.387171e-03	3.591144e-03
206           	6.079376e-02	4.071695e-03	6.320685e-03	2.594736e-03	2.602262e-03	2.376702e-03	3.743719e-03
207           	5.965688e-02	4.194843e-03	6.516252e-03	2.578559e-03	2.586337e-03	2.372783e-03	3.914528e-03
208           	6.038365e-02	4.303753e-03	6.693647e-03	2.562560e-03	2.570601e-03	2.374333e-03	4.118886e-03
209           	6.140687e-02	4.439450e-03	6.884924e-03	2.546725e-03	2.555049e-03	2.378204e-03	4.280004e-03
210           	6.086574e-02	4.590471e-03	7.081740e-03	2.531061e-03	2.539678e-03	2.386341e-03	4.458455e-03
211           	6.001472e-02	4.757104e-03	7.273607e-03	2.515575e-03	2.524487e-03	2.395116e-03	4.609061e-03
212           	5.820207e-02	4.889331e-03	7.409227e-03	2.500289e-03	2.509470e-03	2.404710e-03	4.763610e-03
213           	5.544473e-02	5.006178e-03	7.512117e-03	2.485205e-03	2.494627e-03	2.414435e-03	4.875720e-03
214           	5.364513e-02	5.098008e-03	7.580017e-03	2.470315e-03	2.479949e-03	2.423865e-03	4.984949e-03
215           	5.272308e-02	5.186171e-03	7.593834e-03	2.455606e-03	2.465434e-03	2.434088e-03	5.008926e-03
216           	5.105574e-02	5.216724e-03	7.557054e-03	2.441065e-03	2.451082e-03	2.442670e-03	5.079438e-03
217           	5.014238e-02	5.238767e-03	7.489138e-03	2.426703e-03	2.436890e-03	2.451604e-03	5.100591e-03
218           	4.945739e-02	5.240889e-03	7.399802e-03	2.412513e-03	2.422860e-03	2.461486e-03	5.120990e-03
219           	4.879012e-02	5.227792e-03	7.306045e-03	2.398512e-03	2.408989e-03	2.472062e-03	5.172909e-03
220           	4.900619e-02	5.212473e-03	7.232332e-03	2.384691e-03	2.395271e-03	2.483967e-03	5.192525e-03
221           	4.735955e-02	5.193430e-03	7.166256e-03	2.371056e-03	2.381705e-03	2.496733e-03	5.195440e-03
222           	4.808587e-02	5.168753e-03	7.124977e-03	2.357599e-03	2.368292e-03	2.510905e-03	5.186531e-03
223           	4.943592e-02	5.132960e-03	7.088517e-03	2.344298e-03	2.355031e-03	2.525842e-03	5.219709e-03
224           	5.104483e-02	5.106698e-03	7.063525e-03	2.331134e-03	2.341920e-03	2.542506e-03	5.203818e-03
225           	5.148265e-02	5.068323e-03	7.035530e-03	2.318083e-03	2.328958e-03	2.561941e-03	5.098542e-03
226           	5.200538e-02	5.009915e-03	6.993976e-03	2.305173e-03	2.316142e-03	2.583491e-03	5.052398e-03
227           	5.159807e-02	4.951606e-03	6.943288e-03	2.292411e-03	2.303471e-03	2.606624e-03	4.988088e-03
228           	5.231415e-02	4.889883e-03	6.853184e-03	2.279811e-03	2.290943e-03	2.630062e-03	4.906744e-03
229           	5.309835e-02	4.811350e-03	6.758314e-03	2.267355e-03	2.278556e-03	2.654063e-03	4.829001e-03
230           	5.242480e-02	4.737784e-03	6.632847e-03	2.255041e-03	2.266308e-03	2.677731e-03	4.673132e-03
231           	5.203983e-02	4.638950e-03	6.469792e-03	2.242859e-03	2.254195e-03	2.699419e-03	4.557207e-03
232           	4.934094e-02	4.557742e-03	6.318603e-03	2.230831e-03	2.242217e-03	2.719008e-03	4.422041e-03
